name,position,alphavetical value,name score
AARON,1,49,49
ABBEY,2,35,70
ABBIE,3,19,57
ABBY,4,30,120
ABDUL,5,40,200
ABE,6,8,48
ABEL,7,20,140
ABIGAIL,8,41,328
ABRAHAM,9,44,396
ABRAM,10,35,350
ADA,11,6,66
ADAH,12,14,168
ADALBERTO,13,78,1014
ADALINE,14,46,644
ADAM,15,19,285
ADAN,16,20,320
ADDIE,17,23,391
ADELA,18,23,414
ADELAIDA,19,37,703
ADELAIDE,20,41,820
ADELE,21,27,567
ADELIA,22,32,704
ADELINA,23,46,1058
ADELINE,24,50,1200
ADELL,25,34,850
ADELLA,26,35,910
ADELLE,27,39,1053
ADENA,28,25,700
ADINA,29,29,841
ADOLFO,30,53,1590
ADOLPH,31,56,1736
ADRIA,32,33,1056
ADRIAN,33,47,1551
ADRIANA,34,48,1632
ADRIANE,35,52,1820
ADRIANNA,36,62,2232
ADRIANNE,37,66,2442
ADRIEN,38,51,1938
ADRIENE,39,56,2184
ADRIENNE,40,70,2800
AFTON,41,56,2296
AGATHA,42,38,1596
AGNES,43,46,1978
AGNUS,44,62,2728
AGRIPINA,45,75,3375
AGUEDA,46,39,1794
AGUSTIN,47,91,4277
AGUSTINA,48,92,4416
AHMAD,49,27,1323
AHMED,50,31,1550
AI,51,10,510
AIDA,52,15,780
AIDE,53,19,1007
AIKO,54,36,1944
AILEEN,55,46,2530
AILENE,56,46,2576
AIMEE,57,33,1881
AISHA,58,38,2204
AJA,59,12,708
AKIKO,60,47,2820
AKILAH,61,42,2562
AL,62,13,806
ALAINA,63,38,2394
ALAINE,64,42,2688
ALAN,65,28,1820
ALANA,66,29,1914
ALANE,67,33,2211
ALANNA,68,43,2924
ALAYNA,69,54,3726
ALBA,70,16,1120
ALBERT,71,58,4118
ALBERTA,72,59,4248
ALBERTHA,73,67,4891
ALBERTINA,74,82,6068
ALBERTINE,75,86,6450
ALBERTO,76,73,5548
ALBINA,77,39,3003
ALDA,78,18,1404
ALDEN,79,36,2844
ALDO,80,32,2560
ALEASE,81,43,3483
ALEC,82,21,1722
ALECIA,83,31,2573
ALEEN,84,37,3108
ALEIDA,85,32,2720
ALEISHA,86,55,4730
ALEJANDRA,87,66,5742
ALEJANDRINA,88,89,7832
ALEJANDRO,89,80,7120
ALENA,90,33,2970
ALENE,91,37,3367
ALESHA,92,46,4232
ALESHIA,93,55,5115
ALESIA,94,47,4418
ALESSANDRA,95,94,8930
ALETA,96,39,3744
ALETHA,97,47,4559
ALETHEA,98,52,5096
ALETHIA,99,56,5544
ALEX,100,42,4200
ALEXA,101,43,4343
ALEXANDER,102,84,8568
ALEXANDRA,103,80,8240
ALEXANDRIA,104,89,9256
ALEXIA,105,52,5460
ALEXIS,106,70,7420
ALFONSO,107,82,8774
ALFONZO,108,89,9612
ALFRED,109,46,5014
ALFREDA,110,47,5170
ALFREDIA,111,56,6216
ALFREDO,112,61,6832
ALI,113,22,2486
ALIA,114,23,2622
ALICA,115,26,2990
ALICE,116,30,3480
ALICIA,117,35,4095
ALIDA,118,27,3186
ALINA,119,37,4403
ALINE,120,41,4920
ALISA,121,42,5082
ALISE,122,46,5612
ALISHA,123,50,6150
ALISHIA,124,59,7316
ALISIA,125,51,6375
ALISON,126,70,8820
ALISSA,127,61,7747
ALITA,128,43,5504
ALIX,129,46,5934
ALIZA,130,49,6370
ALLA,131,26,3406
ALLAN,132,40,5280
ALLEEN,133,49,6517
ALLEGRA,134,56,7504
ALLEN,135,44,5940
